edges,graph_name,method_name,nodes,time
979,_,nx,200,0.6104097000000053
979,_,brandes,200,0.059455899999989015
1023,_,nx,200,0.6357844000000057
1023,_,brandes,200,0.06598599999999522
1004,_,nx,200,0.6438346999999993
1004,_,brandes,200,0.06228959999999972
1063,_,nx,200,0.6537813999999997
1063,_,brandes,200,0.06580350000000124
1017,_,nx,200,0.6375321000000014
1017,_,brandes,200,0.06328249999999969
990,_,nx,200,0.6341759999999965
990,_,brandes,200,0.05999079999999424
1032,_,nx,200,0.6421241000000038
1032,_,brandes,200,0.0621890000000036
1480,_,nx,300,1.3006023999999883
1480,_,brandes,300,0.10652859999999009
1522,_,nx,300,1.3175466
1522,_,brandes,300,0.11174739999999872
1467,_,nx,300,1.2803940000000011
1467,_,brandes,300,0.1047709999999995
1511,_,nx,300,1.326461100000003
1511,_,brandes,300,0.10944939999998837
1552,_,nx,300,1.3508163000000053
1552,_,brandes,300,0.10997989999999902
1480,_,nx,300,1.2915931999999941
1480,_,brandes,300,0.1112991999999906
1598,_,nx,300,1.384883699999989
1598,_,brandes,300,0.11173060000000135
1481,_,nx,300,1.2724666999999954
1481,_,brandes,300,0.1038340000000062
1474,_,nx,300,1.2749578999999898
1474,_,brandes,300,0.10585460000000069
1531,_,nx,300,1.3279134
1531,_,brandes,300,0.10831300000000965
1445,_,nx,300,1.3057555000000036
1445,_,brandes,300,0.10453869999999199
1527,_,nx,300,1.3397509999999926
1527,_,brandes,300,0.10832630000000165
1488,_,nx,300,1.2732214999999911
1488,_,brandes,300,0.10977560000000608
1540,_,nx,300,1.3301165999999967
1540,_,brandes,300,0.11073509999999942
1479,_,nx,300,1.298015399999997
1479,_,brandes,300,0.10377409999999543
1453,_,nx,300,1.264244000000005
1453,_,brandes,300,0.10247150000000715
1488,_,nx,300,1.2847871000000026
1488,_,brandes,300,0.10829209999999989
1393,_,nx,300,1.1992521000000096
1393,_,brandes,300,0.0988433999999927
1452,_,nx,300,1.2555553000000117
1452,_,brandes,300,0.10220890000000793
1494,_,nx,300,1.287752299999994
1494,_,brandes,300,0.10897900000000504
1471,_,nx,300,1.291435100000001
1471,_,brandes,300,0.5186776000000037
1553,_,nx,300,1.3308813000000015
1553,_,brandes,300,0.1104758999999973
1507,_,nx,300,1.298681099999996
1507,_,brandes,300,0.11059910000000173
1587,_,nx,300,1.3708242999999953
1587,_,brandes,300,0.11169470000000103
1516,_,nx,300,1.3176758999999976
1516,_,brandes,300,0.10644100000000378
1457,_,nx,300,1.2508902999999947
1457,_,brandes,300,0.1038470000000018
1507,_,nx,300,1.3253460999999902
1507,_,brandes,300,0.1109836000000115
1469,_,nx,300,1.2621737999999993
1469,_,brandes,300,0.10442650000001663
1503,_,nx,300,1.3047254000000237
1503,_,brandes,300,0.1063321999999971
1480,_,nx,300,1.287259000000006
1480,_,brandes,300,0.10785129999999299
1489,_,nx,300,1.2811445000000106
1489,_,brandes,300,0.10896809999999846
1504,_,nx,300,1.3107111999999859
1504,_,brandes,300,0.10622390000000337
1496,_,nx,300,1.2977202000000148
1496,_,brandes,300,0.10556040000000166
1476,_,nx,300,1.2800291999999729
1476,_,brandes,300,0.10750640000000544
1508,_,nx,300,1.3114948999999854
1508,_,brandes,300,0.11009760000001734
1427,_,nx,300,1.2333799999999826
1427,_,brandes,300,0.10080379999999423
1509,_,nx,300,1.3054425999999921
1509,_,brandes,300,0.10995499999998515
1453,_,nx,300,1.2641399999999976
1453,_,brandes,300,0.10177629999998317
1485,_,nx,300,1.2761892000000046
1485,_,brandes,300,0.10785530000001131
1495,_,nx,300,1.3115489999999852
1495,_,brandes,300,0.1143493999999805
1516,_,nx,300,1.2910864000000117
1516,_,brandes,300,0.10802359999999567
1566,_,nx,300,1.4107629000000088
1566,_,brandes,300,0.10995139999999992
1545,_,nx,300,1.3200847999999894
1545,_,brandes,300,0.12137289999998302
1459,_,nx,300,1.2710711999999944
1459,_,brandes,300,0.10994049999999334
1507,_,nx,300,1.3001238999999885
1507,_,brandes,300,0.10889789999998811
1526,_,nx,300,1.3133110999999928
1526,_,brandes,300,0.1101423000000068
1500,_,nx,300,1.3000589000000105
1500,_,brandes,300,0.1097032999999783
1506,_,nx,300,1.298281000000003
1506,_,brandes,300,0.10498820000000819
1539,_,nx,300,1.3499070000000017
1539,_,brandes,300,0.11168729999999982
1484,_,nx,300,1.2843727000000058
1484,_,brandes,300,0.10889610000000971
1506,_,nx,300,1.3001720000000034
1506,_,brandes,300,0.10767989999999372
1479,_,nx,300,1.2823968999999806
1479,_,brandes,300,0.102305599999994
1474,_,nx,300,1.2886280999999826
1474,_,brandes,300,0.10834019999998645
1504,_,nx,300,1.3093800000000044
1504,_,brandes,300,0.1044227999999805
1430,_,nx,300,1.2514044000000126
1430,_,brandes,300,0.10204970000000912
1510,_,nx,300,1.3300291000000186
1510,_,brandes,300,0.11192170000001056
1511,_,nx,300,1.3766135999999847
1511,_,brandes,300,0.10827349999999569
1464,_,nx,300,1.2825944999999876
1464,_,brandes,300,0.10600070000000983
1447,_,nx,300,1.254660599999994
1447,_,brandes,300,0.11118609999999762
1520,_,nx,300,1.3405175999999983
1520,_,brandes,300,0.11306409999997413
1484,_,nx,300,1.300905499999999
1484,_,brandes,300,0.10537690000001021
1449,_,nx,300,1.259204600000004
1449,_,brandes,300,0.10517060000000811
1409,_,nx,300,1.2289279999999962
1409,_,brandes,300,0.10509159999998019
1501,_,nx,300,1.3659317000000044
1501,_,brandes,300,0.10409889999999677
1526,_,nx,300,1.3215782999999988
1526,_,brandes,300,0.10874269999999342
1541,_,nx,300,1.3272866000000079
1541,_,brandes,300,0.11031439999999293
1456,_,nx,300,1.2629439000000104
1456,_,brandes,300,0.10057790000001887
1506,_,nx,300,1.299275200000011
1506,_,brandes,300,0.1054369999999949
1505,_,nx,300,1.3029847999999902
1505,_,brandes,300,0.10593329999997536
1446,_,nx,300,1.2562394999999924
1446,_,brandes,300,0.10164860000000431
1447,_,nx,300,1.2434202999999968
1447,_,brandes,300,0.10349029999997583
1486,_,nx,300,1.2906574000000148
1486,_,brandes,300,0.10432109999999284
1498,_,nx,300,1.309158300000007
1498,_,brandes,300,0.10751820000001544
1508,_,nx,300,1.35244449999999
1508,_,brandes,300,0.10562540000000809
1492,_,nx,300,1.2867908000000057
1492,_,brandes,300,0.11455349999999953
1478,_,nx,300,1.2998408999999924
1478,_,brandes,300,0.11036609999999314
1467,_,nx,300,1.2586948999999947
1467,_,brandes,300,0.10221659999999133
1478,_,nx,300,1.2669048000000203
1478,_,brandes,300,0.10269400000001383
1509,_,nx,300,1.4554234999999949
1509,_,brandes,300,0.12598479999999768
1521,_,nx,300,1.3624868999999933
1521,_,brandes,300,0.10764640000002146
1528,_,nx,300,1.3336524999999995
1528,_,brandes,300,0.10965149999998403
1486,_,nx,300,1.2848024999999836
1486,_,brandes,300,0.10786209999997709
1519,_,nx,300,1.315713599999981
1519,_,brandes,300,0.10502260000001229
1511,_,nx,300,1.3214573999999857
1511,_,brandes,300,0.10757380000001149
1450,_,nx,300,1.2662119000000018
1450,_,brandes,300,0.10088630000001331
1497,_,nx,300,1.342264699999987
1497,_,brandes,300,0.10911089999999035
1507,_,nx,300,1.2901722999999947
1507,_,brandes,300,0.10491239999998925
1492,_,nx,300,1.2888314999999864
1492,_,brandes,300,0.10396560000000932
1480,_,nx,300,1.2890998999999965
1480,_,brandes,300,0.10264029999999025
1534,_,nx,300,1.316379100000006
1534,_,brandes,300,0.10817579999999793
1481,_,nx,300,1.2775670999999988
1481,_,brandes,300,0.10888969999999176
1491,_,nx,300,1.3081220999999914
1491,_,brandes,300,0.10412800000000288
1496,_,nx,300,1.3294860000000028
1496,_,brandes,300,0.10486279999997805
1471,_,nx,300,1.2888030000000015
1471,_,brandes,300,0.1025637000000188
1515,_,nx,300,1.3040306000000044
1515,_,brandes,300,0.10473780000000943
1441,_,nx,300,1.2367828999999801
1441,_,brandes,300,0.09905069999999228
1473,_,nx,300,1.2624094999999897
1473,_,brandes,300,0.10699590000001535
1478,_,nx,300,1.2931222999999932
1478,_,brandes,300,0.10334050000000161
1488,_,nx,300,1.3347407999999916
1488,_,brandes,300,0.10619310000001292
1477,_,nx,300,1.2901958999999863
1477,_,brandes,300,0.10461519999998359
1979,_,nx,400,2.239796800000022
1979,_,brandes,400,0.1590227000000084
1988,_,nx,400,2.2430136999999775
1988,_,brandes,400,0.15707760000000803
1987,_,nx,400,2.2504699999999787
1987,_,brandes,400,0.2123724000000209
1946,_,nx,400,2.4071037999999874
1946,_,brandes,400,0.15639179999999442
2014,_,nx,400,2.2875224000000003
2014,_,brandes,400,0.1601174000000185
1935,_,nx,400,2.188834700000001
1935,_,brandes,400,0.1644231000000218
2018,_,nx,400,2.2592903000000035
2018,_,brandes,400,0.16411070000000905
1949,_,nx,400,2.208115399999997
1949,_,brandes,400,0.15991710000000126
2021,_,nx,400,2.271869800000019
2021,_,brandes,400,0.16682660000000737
2084,_,nx,400,2.3474894000000006
2084,_,brandes,400,0.16929960000004485
1926,_,nx,400,2.172130700000025
1926,_,brandes,400,0.15819709999999532
2010,_,nx,400,2.260112900000024
2010,_,brandes,400,0.15950480000003608
2047,_,nx,400,2.3034761999999773
2047,_,brandes,400,0.16329689999997754
1972,_,nx,400,2.2243912999999793
1972,_,brandes,400,0.16066560000001573
1970,_,nx,400,2.2872289000000023
1970,_,brandes,400,0.16043619999999237
1993,_,nx,400,2.2598092000000065
1993,_,brandes,400,0.15817620000001398
2029,_,nx,400,2.2849865000000023
2029,_,brandes,400,0.16568300000000136
2118,_,nx,400,2.3749329999999986
2118,_,brandes,400,0.17710900000002994
2041,_,nx,400,2.348378099999991
2041,_,brandes,400,0.16456790000000865
1988,_,nx,400,2.2238616000000206
1988,_,brandes,400,0.1592095000000313
2048,_,nx,400,2.3144048999999995
2048,_,brandes,400,0.16331030000003466
1929,_,nx,400,2.1782695999999646
1929,_,brandes,400,0.1559561000000258
1924,_,nx,400,2.169722399999955
1924,_,brandes,400,0.15329189999999926
2083,_,nx,400,2.442359100000033
2083,_,brandes,400,0.17265199999997094
1938,_,nx,400,2.190950600000008
1938,_,brandes,400,0.15484000000003562
1924,_,nx,400,2.1688446999999655
1924,_,brandes,400,0.15579069999995454
2030,_,nx,400,2.298842000000036
2030,_,brandes,400,0.16256429999998545
1978,_,nx,400,2.2463611000000014
1978,_,brandes,400,0.15906350000000202
1955,_,nx,400,2.20617569999996
1955,_,brandes,400,0.16240859999999202
1987,_,nx,400,2.2366967000000386
1987,_,brandes,400,0.16229820000000927
1936,_,nx,400,2.182145300000002
1936,_,brandes,400,0.155786599999999
2024,_,nx,400,2.2676554999999894
2024,_,brandes,400,0.1609305000000063
1971,_,nx,400,2.278075900000033
1971,_,brandes,400,0.16723489999998264
2018,_,nx,400,2.2637485000000197
2018,_,brandes,400,0.16086690000003045
2058,_,nx,400,2.3248712000000182
2058,_,brandes,400,0.16528059999996003
2049,_,nx,399,2.3012448000000063
2049,_,brandes,399,0.16806909999996833
1932,_,nx,400,2.1578964999999926
1932,_,brandes,400,0.15333939999999302
1940,_,nx,400,2.196026399999994
1940,_,brandes,400,0.15920869999996512
2092,_,nx,400,2.359400100000016
2092,_,brandes,400,0.17308969999999135
2018,_,nx,400,2.2738530999999966
2018,_,brandes,400,0.1633839000000421
1949,_,nx,400,2.215831900000012
1949,_,brandes,400,0.15511150000003227
2043,_,nx,400,2.2973832999999786
2043,_,brandes,400,0.17080669999995735
1942,_,nx,400,2.2469990000000166
1942,_,brandes,400,0.1589228999999932
1950,_,nx,400,2.219570699999963
1950,_,brandes,400,0.1549673000000098
1992,_,nx,400,2.233417099999997
1992,_,brandes,400,0.1612228999999843
1934,_,nx,400,2.1897493000000168
1934,_,brandes,400,0.15670210000001816
1929,_,nx,400,2.1942895999999905
1929,_,brandes,400,0.1661344999999983
2087,_,nx,400,2.3795241999999917
2087,_,brandes,400,0.16872449999999617
2006,_,nx,400,2.2936604000000216
2006,_,brandes,400,0.1623500999999692
1980,_,nx,400,2.233798400000012
1980,_,brandes,400,0.15870599999999513
1981,_,nx,400,2.2345333000000096
1981,_,brandes,400,0.1608090999999945
2004,_,nx,400,2.2856447000000344
2004,_,brandes,400,0.3036049000000389
2027,_,nx,400,2.2772266999999715
2027,_,brandes,400,0.21484529999997903
1925,_,nx,400,2.1958119999999894
1925,_,brandes,400,0.15966299999996636
2022,_,nx,400,2.2876926999999796
2022,_,brandes,400,0.16118519999997716
2062,_,nx,400,2.32259700000003
2062,_,brandes,400,0.16418350000003556
2036,_,nx,400,2.2831860000000006
2036,_,brandes,400,0.1754983000000152
1963,_,nx,400,2.218546099999969
1963,_,brandes,400,0.15775519999999688
2009,_,nx,400,2.264009699999974
2009,_,brandes,400,0.16277719999999363
1947,_,nx,400,2.17447020000003
1947,_,brandes,400,0.15686199999998962
2006,_,nx,400,2.2532362000000035
2006,_,brandes,400,0.16431449999998904
2019,_,nx,400,2.345074699999998
2019,_,brandes,400,0.16391920000000937
1984,_,nx,400,2.2325963000000115
1984,_,brandes,400,0.15858359999998584
1996,_,nx,400,2.3018916999999988
1996,_,brandes,400,0.15904860000000554
2059,_,nx,400,2.3443527000000017
2059,_,brandes,400,0.16942649999998594
2059,_,nx,400,2.3084104999999795
2059,_,brandes,400,0.16429180000000088
2002,_,nx,400,2.2509922000000415
